adaptive-rejection-sampler	38
bn-fit-modify	98
break-filter-js-from-html	48
build-cython-ext	38
build-pmars	38
build-pov-ray	115
caffe-cifar-10	48
cancel-async-tasks	38
chess-best-move	38
circuit-fibsqrt	98
cobol-modernization	38
code-from-image	48
compile-compcert	78
configure-git-webserver	38
constraints-scheduling	48
count-dataset-tokens	38
crack-7z-hash	53
custom-memory-heap-crash	68
db-wal-recovery	38
distribution-search	98
dna-assembly	68
dna-insert	68
extract-elf	38
extract-moves-from-video	68
feal-differential-cryptanalysis	68
feal-linear-cryptanalysis	68
filter-js-from-html	68
financial-document-processor	48
fix-code-vulnerability	38
fix-git	38
fix-ocaml-gc	98
gcode-to-text	38
git-leak-recovery	38
git-multibranch	38
gpt2-codegolf	38
headless-terminal	38
hf-model-inference	38
install-windows-3.11	98
kv-store-grpc	38
large-scale-text-editing	48
largest-eigenval	38
llm-inference-batching-scheduler	68
log-summary-date-ranges	38
mailman	68
make-doom-for-mips	38
make-mips-interpreter	68
mcmc-sampling-stan	68
merge-diff-arc-agi-task	38
model-extraction-relu-logits	38
modernize-scientific-stack	28
mteb-leaderboard	98
mteb-retrieve	68
multi-source-data-merger	38
nginx-request-logging	38
openssl-selfsigned-cert	38
overfull-hbox	27
password-recovery	38
path-tracing	68
path-tracing-reverse	68
polyglot-c-py	38
polyglot-rust-c	38
portfolio-optimization	98
protein-assembly	68
prove-plus-comm	38
pypi-server	38
pytorch-model-cli	38
pytorch-model-recovery	38
qemu-alpine-ssh	38
qemu-startup	38
query-optimize	53
raman-fitting	38
regex-chess	98
regex-log	38
reshard-c4-data	98
rstan-to-pystan	68
sam-cell-seg	115
sanitize-git-repo	38
schemelike-metacircular-eval	78
sparql-university	38
sqlite-db-truncate	38
sqlite-with-gcov	38
torch-pipeline-parallelism	38
torch-tensor-parallelism	38
train-fasttext	98
tune-mjcf	38
video-processing	98
vulnerable-secret	38
winning-avg-corewars	98
write-compressor	38
